期間,広告主別,日付,デバイス,受注金額,売上金額,アクセス数,CV（受注）,CVR（受注）,CV（決済）,CVR（決済）,コスト,CV（アップセル）,CV（サンクスアップセル）,CV（サンクスクロスセル）,オファー成功率（アップセル）,オファー成功率（サンクスアップセル）,オファー成功率（サンクスクロスセル）
2025-09-10 00:00:00 - 2025-09-10 23:59:59,インハウス,2025/09/10,合計,45624,18111,157,15,9.55,6,3.82,0,0,3,0,0.0,20.0,0.0
2025-09-10 00:00:00 - 2025-09-10 23:59:59,インハウス,2025/09/10,PC,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0
2025-09-10 00:00:00 - 2025-09-10 23:59:59,インハウス,2025/09/10,SP,45624,18111,154,15,9.74,6,3.9,0,0,3,0,0.0,20.0,0.0
2025-09-10 00:00:00 - 2025-09-10 23:59:59,インハウス,2025/09/10,その他,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0
