期間,広告主別,日付,デバイス,受注金額,売上金額,アクセス数,CV（受注）,CVR（受注）,CV（決済）,CVR（決済）,コスト,CV（アップセル）,CV（サンクスアップセル）,CV（サンクスクロスセル）,オファー成功率（アップセル）,オファー成功率（サンクスアップセル）,オファー成功率（サンクスクロスセル）
2025-09-14 00:00:00 - 2025-09-14 23:59:59,インハウス,2025/09/14,合計,42182,0,96,14,14.58,0,0.0,0,0,3,0,0.0,21.43,0.0
2025-09-14 00:00:00 - 2025-09-14 23:59:59,インハウス,2025/09/14,PC,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0
2025-09-14 00:00:00 - 2025-09-14 23:59:59,インハウス,2025/09/14,SP,42182,0,95,14,14.74,0,0.0,0,0,3,0,0.0,21.43,0.0
2025-09-14 00:00:00 - 2025-09-14 23:59:59,インハウス,2025/09/14,その他,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0
